,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
166,137408,"Ruffino, Modus",Ruffino,Italy,Toscana,,,,Sangiovese,Cabernet Sauvignon,Merlot,,,,,,,,,,Red,Table,14.5,15~18,SWEET1,ACIDITY3,BODY5,TANNIN4,130000,2017,750
167,137409,"Ruffino, Romitorio di Santidame",Ruffino,Italy,Toscana,,,,Colorino,Merlot,,,,,,,,,,,Red,Table,13.5,16~19,SWEET1,ACIDITY4,BODY4,TANNIN4,230000,2006,750
168,137410,"35 South, Reserva Cabernet Sauvignon",San Pedro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,27000,2017,750
169,137411,35 South Reserva Merlot,San Pedro,Chile,Central Valley,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,27000,2016,750
170,137412,Amigo Cabernet Sauvignon,San Pedro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,12~13,16~18,SWEET2,ACIDITY4,BODY3,TANNIN3,14000,2017,750
171,137413,Amigo Merlot,San Pedro,Chile,Central Valley,,,,Merlot,,,,,,,,,,,,Red,Table,12~13,16~18,SWEET2,ACIDITY3,BODY3,TANNIN2,14000,2017,750
172,137414,"San Pedro, Cabo de Hornos Special Reserve",San Pedro,Chile,Rapel Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,0,2015,750
173,137415,"San Pedro, Molina Reserva Cabernet Sauvignon",San Pedro,Chile,Rapel Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
174,137416,"San Pedro, Molina Reserva Carmenere",San Pedro,Chile,Maule Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,40000,2017,750
176,137418,"San Pedro, Gato Negro Cabernet Sauvignon",San Pedro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,15~17,SWEET1,ACIDITY3,BODY2,TANNIN3,25000,2017,750
177,137419,"San Pedro, Gato Negro Carmenere",San Pedro,Chile,Central Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,13~14,17~19,SWEET2,ACIDITY4,BODY3,TANNIN3,25000,2018,750
180,137422,"San Pedro, Grosso Cabernet Sauvignon",San Pedro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2005,750
182,137425,"35 South, Reserva Carmenere",San Pedro,Chile,Central Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,27000,2017,750
183,137426,1865 Selected Vineyard Cabernet Sauvignon,San Pedro,Chile,Maipo Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14~15,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2017,750
184,137429,"Santa Margherita, Sangiovese",Santa Margherita,Italy,Toscana,,,,Sangiovese,Etc,,,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2004,750
187,137432,Santa Margherita Merlot,Santa Margherita,Italy,Veneto,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,29000,2016,750
189,137434,"Santa Margherita, Shiraz",Santa Margherita,Italy,Sicilia,,,,Syrah & Shiraz,,,,,,,,,,,,Red,Table,14,17~19,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2004,750
190,137435,"Trapiche, Astica Cabernet Sauvignon",Trapiche,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,20000,2018,750
191,137436,"Trapiche, Astica Merlot Malbec",Trapiche,Argentina,Mendoza,,,,Merlot,Malbec,,,,,,,,,,,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,20000,2018,750
192,137437,"Trapiche, Broquel Cabernet Sauvignon",Trapiche,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,50000,2016,750
193,137438,"Trapiche, Broquel Malbec",Trapiche,Argentina,Mendoza,,,,Malbec,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,50000,2016,750
194,137439,"Trapiche, Iscay Malbec Cabernet Franc",Trapiche,Argentina,Mendoza,,,,Malbec,Cabernet Franc,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN5,140000,2013,750
195,137440,"Trapiche, Medalla Cabernet Sauvignon",Trapiche,Argentina,Mendoza,Uco Valley,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14~15,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,70000,2015,750
196,137441,"Trapiche, Oak Cask Cabernet Sauvignon",Trapiche,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,35000,2018,750
198,137443,"Trapiche, Oak Cask Malbec",Trapiche,Argentina,Mendoza,,,,Malbec,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,35000,2018,750
199,137444,"Trapiche, Single Vineyard Malbec",Trapiche,Argentina,Mendoza,,,,Malbec,,,,,,,,,,,,Red,Table,14.5,17~19,SWEET1,ACIDITY3,BODY4,TANNIN4,100000,2014,750
200,137445,"Trapiche, Cabernet Sauvignon",Trapiche,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2018,750
201,137446,"Trapiche, Malbec",Trapiche,Argentina,Mendoza,,,,Malbec,,,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,26000,2018,750
202,137447,"Trapiche, Merlot",Trapiche,Argentina,Mendoza,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~19,SWEET2,ACIDITY3,BODY3,TANNIN3,0,2005,750
205,137450,Brio du Cantenac Brown,Chateau CantenacBrown Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,120000,2004,750
206,137451,Baron de Brane,Chateau Brane Cantenac  Grand Cru Classe2nd Cru,France,Bordeaux,Margaux,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,80000,2016,750
207,137452,Les Remparts de Ferriere,Chateau Ferriere Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,45000,2016,750
208,137454,Les Haut de Brillette,Chateau Brillette,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,60000,2005,750
209,137455,Fluer de Bouard,La Fleur de Bouard,France,Bordeaux,Lalande de Pomerol,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2002,750
210,137457,"Almaden, Burgundy",Almaden Vineyards,USA,California,,,,Blend,,,,,,,,,,,,Red,Table,12,16~18,SWEET2,ACIDITY3,BODY3,TANNIN3,0,0,1500
214,137466,Margaux Tradition,Andre Lurton,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2015,750
216,137469,Chateau de Montagne,Andre Quancard Andre,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,18000,2008,750
217,137470,Laroussie Beaucastel Bordeaux Superieure,Andre Quancard Andre,France,Bordeaux,Bordeaux Superieur,,,Cabernet Franc,Cabernet Sauvignon,Merlot,,,,,,,,,,Red,Table,12,10~12,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
218,137471,Chateau Bellegrave,Chateau Bellegrave,France,Bordeaux,Medoc,,,Merlot,Cabernet Sauvignon,Petit Verdot,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,39000,2005,750
219,137472,Chateau Laubespin Medoc,Andre Quancard Andre,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2013,750
220,137473,Laroque cantegrelle Medoc,Andre Quancard Andre,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2016,750
221,137474,"Andre Quancard Andre, Saint-Emilion",Andre Quancard Andre,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2012,750
222,137475,"AQA, Montagne Bordeaux",Andre Quancard Andre,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2014,750
223,137476,Chateau de Mole,Andre Quancard Andre,France,Bordeaux,PuisseguinSaintEmilion,,,Cabernet Sauvignon,Merlot,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
224,137477,"Antech Limoux, Doux et Fruite",Blanquette de Limoux Antech,France,,,,,Mauzac,,,,,,,,,,,,Red,Table,6~7,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,25000,0,750
225,137478,"Antech Limoux, Frisson",Blanquette de Limoux Antech,France,,,,,Mauzac,,,,,,,,,,,,Red,Table,6~7,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,0,750
228,137482,"Chateau de Mercey, Mercurey 1er Cru En Saznay",Chateau de Mercey,France,Bourgogne,Cote Chalonnaise,Mercurey,,Pinot Noir,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2016,750
229,137483,Chateau de Rully,Chateau de Rully,France,Bourgogne,Cote Chalonnaise,Rully,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2013,750
230,137484,"Antonin Rodet, Aloxe Corton",Antonin Rodet,France,Bourgogne,Cote de Beaune,AloxeCorton,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2014,750
232,137486,"Antonin Rodet, Pommard",Antonin Rodet,France,Bourgogne,Cote de Beaune,Pommard,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2013,750
234,137488,"Antonin Rodet, Chambolle Musigny",Antonin Rodet,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2010,750
235,137489,"Antonin Rodet, Gevrey Chambertin",Antonin Rodet,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2017,750
236,137490,"Antonin Rodet, Nuits St Georges",Antonin Rodet,France,Bourgogne,Cote de Nuits,NuitsStGeorges,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2010,750
237,137491,"Antonin Rodet, Cotes du Rhone Rouge",Antonin Rodet,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,mourvedre,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
240,137494,"Antonin Rodet, Bourgogne Pinot Noir",Antonin Rodet,France,Bourgogne,,,,Pinot Noir,,,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2016,750
242,137496,"B.R.Cohn, Silver Label Cabernet Sauvignon",BR Cohn Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14.1,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2016,750
243,137497,"B.R.Cohn, Sonoma Valley Merlot",BR Cohn Winery,USA,California,Sonoma County,Sonoma Valley,,Merlot,,,,,,,,,,,,Red,Table,14.3,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2013,750
244,137499,"B.R.Cohn, Special Selection Cabernet Sauvignon",BR Cohn Winery,USA,California,Sonoma County,Sonoma Valley,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.8,17~20,SWEET1,ACIDITY3,BODY5,TANNIN4,1100000,1997,750
245,137501,"Balbi Soprani, Nebbiolo d'Alba",Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Alba,,,Nebbiolo,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,38000,2004,750
247,137503,"Balbi Soprani, Barbera d'Asti  La Baudria",Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Asti,,,Barbera,,,,,,,,,,,,Red,Table,14,10~12,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2012,750
249,137505,"Balbi Soprani, Barbaresco",Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Barbaresco,,,Nebbiolo,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,99000,2015,750
250,137506,"Balbi Soprani, Barolo",Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,132000,2014,750
252,137512,"Brotte, Chateauneuf du Pape 'La Fiole du Pape'",Brotte,France,Rhone,ChateauneufduPape,,,Grenache,Syrah & Shiraz,mourvedre,Cinsault,Etc,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,0,750
253,137525,Chateau Pouget,Chateau Pouget Grand Cru Classe4th Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2015,750
254,137534,Chateau Cadet Piola,Chateau Cadet Piola,France,Bordeaux,SaintEmilion Grand Cru,,,Bordeaux Blend Red,,,,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2007,750
255,137537,Chateau Ciceron,Chateau Ciceron,France,Southern France,Languedoc Roussillon,Corbieres,,Syrah & Shiraz,Grenache,mourvedre,Carignan,Cinsault,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN4,0,2015,750
256,137544,Chateau de Toulet,Chateau de Toulet,France,Bordeaux,,,,Bordeaux Blend Red,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2016,750
258,137576,"Chateau de Serame, Cabernet Sauvignon",Chateau de Serame,France,Cabernet Sauvignon,,,,,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750
260,137578,"Chateau de Serame, Merlot",Chateau de Serame,France,,,,,Merlot,,,,,,,,,,,,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2015,750
261,137585,Chateau Tour Haut Vignoble,Chateau Tour Haut Vignoble,France,Bordeaux,Saint Estephe,,,Bordeaux Blend Red,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2014,750
263,137588,"Chialri 1860, Lambrusco Rosso",Chiarli  Cleto Chiarli,Italy,,,,,Lambrusco,,,,,,,,,,,,Red,Table,7~8,10~12,SWEET2,ACIDITY2,BODY4,TANNIN2,13000,0,750
264,137591,"Citra, Merlot",Citra,Italy,,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2017,750
265,137592,"Citra, Montepulciano d'Abruzzo",Citra,Italy,Abruzzo,,,,Montepulciano,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,20000,2008,750
266,137593,"Citra, Sangiovese",Citra,Italy,Abruzzo,,,,Sangiovese,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,20000,2017,750
268,137595,"Citra, Lavs Vitae Montepulciano d'Abruzzo",Citra,Italy,Abruzzo,,,,Montepulciano,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
271,137598,"Citra, Palio Montepulciano d'Abruzzo",Citra,Italy,Abruzzo,,,,Montepulciano,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
272,137600,"Agustinos, Cabernet Sauvignon",Agustinos,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.7,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,15000,2010,750
273,137601,"Agustinos, Grand Reserve Cabernet Sauvignon",Agustinos,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.7,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,45000,2007,750
274,137602,"Agustinos, Reserva Cabernet Sauvignon",Agustinos,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.2,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,21000,2009,750
275,137603,Casa Porta Collection Reserve Cabernet Sauvignon,Porta Winery,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,16~19,SWEET1,ACIDITY3,BODY4,TANNIN3,25000,2009,750
276,137605,Porta Cima,Porta Winery,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,120000,2007,750
277,137606,"Agustinos, Grand Reserva Malbec",Agustinos,Chile,Southern Region,BioBioValley,,,Malbec,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,45000,2015,750
279,137608,"Agustinos, Winemaker Selection Pinot Noir",Agustinos,Chile,Southern Region,BioBioValley,,,Pinot Noir,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,25000,2015,750
280,137609,Casa Porta Limited Reserve Pinot Noir,Porta Winery,Chile,Southern Region,BioBioValley,,,Pinot Noir,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,28000,2015,750
281,137610,"Porta, Pinot Noir Grand Reserve",Porta Winery,Chile,Southern Region,BioBioValley,,,Pinot Noir,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,62000,2015,750
282,137611,Casa Porta Cabernet Sauvignon,Porta Winery,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2009,750
283,137612,Casa Porta Grand Collection Cabernet Sauvignon,Porta Winery,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,14.2,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,40000,2008,750
287,137617,"Agustinos, Carmenere",Agustinos,Chile,Maipo Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY2,BODY2,TANNIN2,17000,2009,750
288,137618,Casa Porta Collection Reserve Merlot,Porta Winery,Chile,Maipo Valley,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~19,SWEET1,ACIDITY3,BODY3,TANNIN3,25000,2009,750
289,137619,Casa Porta Limited Reserve Cabernet Carmenere,Porta Winery,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,28000,2007,750
290,137620,"Porta, Carmenere Reserve",Porta Winery,Chile,Maipo Valley,,,,Carmenere,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2010,750
291,137621,"Agustinos, Winemaker Selection Cabernet Carmenere",Agustinos,Chile,Rapel Valley,,,,Cabernet Sauvignon,Carmenere,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,25000,2008,750
292,137622,"Casa Porta, Limited Reserve Syrah Merlot",Porta Winery,Chile,Rapel Valley,,,,Syrah & Shiraz,Merlot,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2010,750
293,137624,Porta Merlot,Porta Winery,Chile,Rapel Valley,,,,Merlot,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2009,750
294,137625,"Craggy Range, Gimblett Gravels Vineyards Merlot",Craggy Range,New Zealand,North Island,Hawkes Bay,,,Merlot,Cabernet Franc,Cabernet Sauvignon,Malbec,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2005,750
296,137627,"Del Fin Del Mundo, Postales Malbec",Del Fin Del Mundo,Argentina,,,,,Malbec,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2017,750
297,137628,"Del Fin Del Mundo, Postales Merlot",Del Fin Del Mundo,Argentina,,,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2014,750
298,137629,"Del Fin Del Mundo, Reserve Pinot Noir",Del Fin Del Mundo,Argentina,Pinot Noir,,,,,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2014,750
299,137632,"Domaine Jacques Prieur, Beaune 1er Cru Les Champs Pimont",Domaine Jacques Prieur,France,Bourgogne,Cote de Beaune,Beaune,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,175000,2014,750
302,137635,"Domaine Jacques Prieur, Beaune 1er Cru Clos de la Feguine Rouge",Domaine Jacques Prieur,France,Bourgogne,Cote de Beaune,Beaune,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,240000,2014,750
303,137636,"Domaine Jacques Prieur, Beaune 1er Cru les Greves",Domaine Jacques Prieur,France,Bourgogne,Cote de Beaune,Beaune,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,240000,2014,750
305,137638,"Domaine Jacques Prieur, Corton Bressandes Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Cote de Beaune,AloxeCorton,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,600000,2014,750
310,137643,"Domaine Jacques Prieur, Volnay 1er Cru Champans",Domaine Jacques Prieur,France,Bourgogne,Cote de Beaune,Volnay,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,360000,2014,750
311,137644,"Domaine Jacques Prieur, Volnay 1er Cru Clos des Santenots",Domaine Jacques Prieur,France,Bourgogne,Cote de Beaune,Volnay,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,350000,2014,750
312,137645,"Domaine Jacques Prieur, Chambertin Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~19,SWEET1,ACIDITY3,BODY4,TANNIN3,650000,2014,750
313,137646,"Domaine Jacques Prieur, Clos de Vougeot Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Cote de Nuits,Vougeot,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,500000,2014,750
314,137647,"Domaine Jacques Prieur, Echezeaux Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Cote de Nuits,VosneRomanee,,Pinot Noir,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,750000,2014,750
315,137648,"Domaine Jacques Prieur, Les Musigny Grand Cru",Domaine Jacques Prieur,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,1050000,2014,750
319,137653,"Domini Veneti, Amarone Classico della Valpolicella Vigneti di Jago",Domini Veneti,Italy,Veneto,Valpolicella,,,Corvina Veronese,Rondinella,Molinara,,,,,,,,,,Red,Table,15~16,16~18,SWEET2,ACIDITY2,BODY5,TANNIN3,0,2000,750
320,137654,"Domini Veneti, Amarone della Valpolicella Classico",Domini Veneti,Italy,Veneto,Valpolicella,,,Corvina Veronese,Corvinone,Rondinella,,,,,,,,,,Red,Table,15~16,16~18,SWEET2,ACIDITY3,BODY5,TANNIN3,0,2004,750
321,137655,"Domini Veneti, Recioto Della Valpolicella Classico",Domini Veneti,Italy,Veneto,Valpolicella,,,Corvina Veronese,Corvinone,Rondinella,,,,,,,,,,Red,Table,12~13,16~18,SWEET5,ACIDITY3,BODY5,TANNIN2,0,2005,750
322,137656,"Domini Veneti, Valpolicella Classico Ripasso Vigneti di Torbe",Domini Veneti,Italy,Veneto,Valpolicella,,,Corvina Veronese,Corvinone,Rondinella,,,,,,,,,,Red,Table,13.4,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,70000,2004,750
323,137657,"Domini Veneti, Valpolicella Classico Superiore",Domini Veneti,Italy,Veneto,Valpolicella,,,Corvina,Corvinone,Rondinella,Molinara,,,,,,,,,Red,Table,12~13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2005,750
324,137659,"Domini Veneti, Valpolicella Classico Superiore Ripasso La Casetta",Domini Veneti,Italy,Veneto,Valpolicella,,,Corvina Veronese,Corvinone,Rondinella,Cabernet Sauvignon,,,,,,,,,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2003,750
325,137660,"Pepperwood Grove, Cabernet Sauvignon",Don Sebastiani  Sons,USA,California,,,,Cabernet Sauvignon,,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2015,750
